ROWID,Country,SourceYear,Harmonized System (HS) Code,Commodities,Import value of each commodity,Percentage share of each commodity ( % ),YearCode,Year
543,India,2001-02,21,MISCELLANEOUS EDIBLE PREPARATIONS,27660.83,0.1128,2001,"Financial Year (Apr - Mar), 2001"
544,India,1998-99,21,MISCELLANEOUS EDIBLE PREPARATIONS,21742.83,0.1219,1998,"Financial Year (Apr - Mar), 1998"
545,India,1996-97,21,MISCELLANEOUS EDIBLE PREPARATIONS,18576.73,0.1337,1996,"Financial Year (Apr - Mar), 1996"
546,India,1997-98,21,MISCELLANEOUS EDIBLE PREPARATIONS,21523.37,0.1396,1997,"Financial Year (Apr - Mar), 1997"
547,India,1996-97,22,"BEVERAGES, SPIRITS AND VINEGAR",2906.5,0.0209,1996,"Financial Year (Apr - Mar), 1996"
548,India,1999-00,22,"BEVERAGES, SPIRITS AND VINEGAR",5280.35,0.0245,1999,"Financial Year (Apr - Mar), 1999"
549,India,2001-02,22,"BEVERAGES, SPIRITS AND VINEGAR",6431.95,0.0262,2001,"Financial Year (Apr - Mar), 2001"
550,India,2000-01,22,"BEVERAGES, SPIRITS AND VINEGAR",6235.42,0.027,2000,"Financial Year (Apr - Mar), 2000"
551,India,1998-99,22,"BEVERAGES, SPIRITS AND VINEGAR",5483.89,0.0308,1998,"Financial Year (Apr - Mar), 1998"
552,India,2002-03,22,"BEVERAGES, SPIRITS AND VINEGAR",10048.67,0.0338,2002,"Financial Year (Apr - Mar), 2002"
553,India,2003-04,22,"BEVERAGES, SPIRITS AND VINEGAR",13771.43,0.0383,2003,"Financial Year (Apr - Mar), 2003"
554,India,1997-98,22,"BEVERAGES, SPIRITS AND VINEGAR",6547.6,0.0425,1997,"Financial Year (Apr - Mar), 1997"
555,India,2007-08,22,"BEVERAGES, SPIRITS AND VINEGAR",57949.33,0.0572,2007,"Financial Year (Apr - Mar), 2007"
556,India,2006-07,22,"BEVERAGES, SPIRITS AND VINEGAR",50489.11,0.0601,2006,"Financial Year (Apr - Mar), 2006"
557,India,2011-12,22,"BEVERAGES, SPIRITS AND VINEGAR",151386,0.0645,2011,"Financial Year (Apr - Mar), 2011"
558,India,2008-09,22,"BEVERAGES, SPIRITS AND VINEGAR",90246.69,0.0657,2008,"Financial Year (Apr - Mar), 2008"
559,India,2012-13,22,"BEVERAGES, SPIRITS AND VINEGAR",177004.14,0.0663,2012,"Financial Year (Apr - Mar), 2012"
560,India,2010-11,22,"BEVERAGES, SPIRITS AND VINEGAR",117462.16,0.0698,2010,"Financial Year (Apr - Mar), 2010"
561,India,2013-14,22,"BEVERAGES, SPIRITS AND VINEGAR",259839.27,0.0957,2013,"Financial Year (Apr - Mar), 2013"
562,India,2009-10,22,"BEVERAGES, SPIRITS AND VINEGAR",140898.54,0.1033,2009,"Financial Year (Apr - Mar), 2009"
563,India,2014-15,22,"BEVERAGES, SPIRITS AND VINEGAR",332244.53,0.1214,2014,"Financial Year (Apr - Mar), 2014"
564,India,2021-22,22,"BEVERAGES, SPIRITS AND VINEGAR",654487.7,0.1431,2021,"Financial Year (Apr - Mar), 2021"
565,India,2005-06,22,"BEVERAGES, SPIRITS AND VINEGAR",96753.1,0.1465,2005,"Financial Year (Apr - Mar), 2005"
566,India,2015-16,22,"BEVERAGES, SPIRITS AND VINEGAR",366706.3,0.1473,2015,"Financial Year (Apr - Mar), 2015"
567,India,2004-05,22,"BEVERAGES, SPIRITS AND VINEGAR",75866.16,0.1514,2004,"Financial Year (Apr - Mar), 2004"
568,India,2018-19,22,"BEVERAGES, SPIRITS AND VINEGAR",551015.3,0.1533,2018,"Financial Year (Apr - Mar), 2018"
569,India,2017-18,22,"BEVERAGES, SPIRITS AND VINEGAR",465277.83,0.155,2017,"Financial Year (Apr - Mar), 2017"
570,India,2020-21,22,"BEVERAGES, SPIRITS AND VINEGAR",483820.96,0.1659,2020,"Financial Year (Apr - Mar), 2020"
571,India,2019-20,22,"BEVERAGES, SPIRITS AND VINEGAR",563291.43,0.1676,2019,"Financial Year (Apr - Mar), 2019"
572,India,2016-17,22,"BEVERAGES, SPIRITS AND VINEGAR",451280.24,0.1751,2016,"Financial Year (Apr - Mar), 2016"
573,India,2007-08,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER,43464.55,0.0429,2007,"Financial Year (Apr - Mar), 2007"
574,India,2008-09,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER,60939.99,0.0443,2008,"Financial Year (Apr - Mar), 2008"
575,India,1997-98,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER,7065.85,0.0458,1997,"Financial Year (Apr - Mar), 1997"
576,India,2006-07,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER,39021.51,0.0464,2006,"Financial Year (Apr - Mar), 2006"
577,India,2011-12,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER,118865.32,0.0507,2011,"Financial Year (Apr - Mar), 2011"
578,India,2010-11,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER,86049.84,0.0511,2010,"Financial Year (Apr - Mar), 2010"
579,India,1999-00,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER,11158.19,0.0518,1999,"Financial Year (Apr - Mar), 1999"
580,India,2000-01,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER,12675.81,0.0549,2000,"Financial Year (Apr - Mar), 2000"
581,India,2012-13,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER,167757.83,0.0629,2012,"Financial Year (Apr - Mar), 2012"
582,India,2009-10,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER,86185.48,0.0632,2009,"Financial Year (Apr - Mar), 2009"
583,India,2013-14,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER,173945.53,0.0641,2013,"Financial Year (Apr - Mar), 2013"
584,India,2005-06,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER,42597.89,0.0645,2005,"Financial Year (Apr - Mar), 2005"
585,India,1998-99,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER,12520.08,0.0702,1998,"Financial Year (Apr - Mar), 1998"
586,India,2014-15,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER,202260.63,0.0739,2014,"Financial Year (Apr - Mar), 2014"
587,India,2004-05,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER,38281.96,0.0764,2004,"Financial Year (Apr - Mar), 2004"
588,India,2001-02,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER,19737.77,0.0805,2001,"Financial Year (Apr - Mar), 2001"
589,India,1996-97,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER,11578.41,0.0833,1996,"Financial Year (Apr - Mar), 1996"
590,India,2002-03,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER,28263.25,0.0951,2002,"Financial Year (Apr - Mar), 2002"
591,India,2003-04,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER,34850.41,0.097,2003,"Financial Year (Apr - Mar), 2003"
592,India,2015-16,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER,249998.59,0.1004,2015,"Financial Year (Apr - Mar), 2015"
593,India,2017-18,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER,355811.32,0.1186,2017,"Financial Year (Apr - Mar), 2017"
594,India,2018-19,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER,447933.9,0.1246,2018,"Financial Year (Apr - Mar), 2018"
595,India,2016-17,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER,331652.87,0.1287,2016,"Financial Year (Apr - Mar), 2016"
596,India,2019-20,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER,506562.69,0.1507,2019,"Financial Year (Apr - Mar), 2019"
597,India,2020-21,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER,497347.56,0.1706,2020,"Financial Year (Apr - Mar), 2020"
598,India,2021-22,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER,929114.73,0.2032,2021,"Financial Year (Apr - Mar), 2021"
599,India,2007-08,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,6407.72,0.0063,2007,"Financial Year (Apr - Mar), 2007"
600,India,1997-98,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,1039.8,0.0067,1997,"Financial Year (Apr - Mar), 1997"
601,India,1999-00,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,1579.77,0.0073,1999,"Financial Year (Apr - Mar), 1999"
602,India,2010-11,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,12497.8,0.0074,2010,"Financial Year (Apr - Mar), 2010"
603,India,2011-12,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,18158.2,0.0077,2011,"Financial Year (Apr - Mar), 2011"
604,India,2001-02,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,2011.08,0.0082,2001,"Financial Year (Apr - Mar), 2001"
605,India,2009-10,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,11648.19,0.0085,2009,"Financial Year (Apr - Mar), 2009"
606,India,2017-18,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,25539.85,0.0085,2017,"Financial Year (Apr - Mar), 2017"
607,India,2008-09,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,11837.25,0.0086,2008,"Financial Year (Apr - Mar), 2008"
608,India,2000-01,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,2097.27,0.0091,2000,"Financial Year (Apr - Mar), 2000"
609,India,2013-14,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,24838.94,0.0091,2013,"Financial Year (Apr - Mar), 2013"
610,India,2012-13,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,24695.86,0.0093,2012,"Financial Year (Apr - Mar), 2012"
611,India,2020-21,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,28819.19,0.0099,2020,"Financial Year (Apr - Mar), 2020"
612,India,2018-19,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,36040.69,0.01,2018,"Financial Year (Apr - Mar), 2018"
613,India,2021-22,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,47098.69,0.0103,2021,"Financial Year (Apr - Mar), 2021"
614,India,2014-15,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,29844.6,0.0109,2014,"Financial Year (Apr - Mar), 2014"
615,India,2019-20,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,39193.27,0.0117,2019,"Financial Year (Apr - Mar), 2019"
616,India,2016-17,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,30575.47,0.0119,2016,"Financial Year (Apr - Mar), 2016"
617,India,2005-06,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,7939.22,0.012,2005,"Financial Year (Apr - Mar), 2005"
618,India,2006-07,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,10282.63,0.0122,2006,"Financial Year (Apr - Mar), 2006"
619,India,2015-16,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,33121.57,0.0133,2015,"Financial Year (Apr - Mar), 2015"
620,India,2002-03,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,4249.61,0.0143,2002,"Financial Year (Apr - Mar), 2002"
621,India,1996-97,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,2204.08,0.0159,1996,"Financial Year (Apr - Mar), 1996"
622,India,2003-04,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,5693.67,0.0159,2003,"Financial Year (Apr - Mar), 2003"
623,India,1998-99,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,3077.2,0.0173,1998,"Financial Year (Apr - Mar), 1998"
624,India,2004-05,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,11103.95,0.0222,2004,"Financial Year (Apr - Mar), 2004"
625,India,2006-07,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",388729.11,0.4625,2006,"Financial Year (Apr - Mar), 2006"
626,India,2010-11,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",838881.98,0.4983,2010,"Financial Year (Apr - Mar), 2010"
627,India,2005-06,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",337298.12,0.5107,2005,"Financial Year (Apr - Mar), 2005"
628,India,2003-04,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",184977.68,0.5151,2003,"Financial Year (Apr - Mar), 2003"
629,India,2013-14,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",1431567.27,0.5272,2013,"Financial Year (Apr - Mar), 2013"
630,India,2017-18,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",1620900.83,0.5401,2017,"Financial Year (Apr - Mar), 2017"
631,India,2019-20,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",1857829.26,0.5528,2019,"Financial Year (Apr - Mar), 2019"
632,India,2018-19,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",1993805.19,0.5547,2018,"Financial Year (Apr - Mar), 2018"
633,India,2007-08,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",566275.17,0.5594,2007,"Financial Year (Apr - Mar), 2007"
634,India,2016-17,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",1457721.23,0.5655,2016,"Financial Year (Apr - Mar), 2016"
635,India,2004-05,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",290540.7,0.5798,2004,"Financial Year (Apr - Mar), 2004"
636,India,2009-10,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",796117.1,0.5838,2009,"Financial Year (Apr - Mar), 2009"
637,India,2020-21,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",1732498.73,0.5941,2020,"Financial Year (Apr - Mar), 2020"
638,India,2014-15,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",1660861.64,0.6068,2014,"Financial Year (Apr - Mar), 2014"
639,India,2012-13,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",1649323.37,0.6179,2012,"Financial Year (Apr - Mar), 2012"
640,India,2021-22,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",3000958.37,0.6563,2021,"Financial Year (Apr - Mar), 2021"
641,India,2015-16,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",1684673.99,0.6765,2015,"Financial Year (Apr - Mar), 2015"
642,India,2002-03,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",202469.19,0.6812,2002,"Financial Year (Apr - Mar), 2002"
643,India,2011-12,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",1646801.14,0.7021,2011,"Financial Year (Apr - Mar), 2011"
644,India,2001-02,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",172751.59,0.7045,2001,"Financial Year (Apr - Mar), 2001"
645,India,2008-09,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",1114141.58,0.8106,2008,"Financial Year (Apr - Mar), 2008"
646,India,2000-01,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",200800.03,0.8697,2000,"Financial Year (Apr - Mar), 2000"
647,India,1996-97,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",122627.21,0.8827,1996,"Financial Year (Apr - Mar), 1996"
648,India,1998-99,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",164017.46,0.9197,1998,"Financial Year (Apr - Mar), 1998"
649,India,1997-98,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",142423.21,0.9238,1997,"Financial Year (Apr - Mar), 1997"
650,India,1999-00,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",199734.88,0.9267,1999,"Financial Year (Apr - Mar), 1999"
651,India,1997-98,26,"ORES, SLAG AND ASH",52317.41,0.3393,1997,"Financial Year (Apr - Mar), 1997"
652,India,1996-97,26,"ORES, SLAG AND ASH",58960.52,0.4244,1996,"Financial Year (Apr - Mar), 1996"
653,India,1998-99,26,"ORES, SLAG AND ASH",86781.29,0.4866,1998,"Financial Year (Apr - Mar), 1998"
654,India,2019-20,26,"ORES, SLAG AND ASH",1869924.58,0.5564,2019,"Financial Year (Apr - Mar), 2019"
655,India,2000-01,26,"ORES, SLAG AND ASH",131871.92,0.5712,2000,"Financial Year (Apr - Mar), 2000"
656,India,1999-00,26,"ORES, SLAG AND ASH",124309.86,0.5768,1999,"Financial Year (Apr - Mar), 1999"
657,India,2020-21,26,"ORES, SLAG AND ASH",1798359.27,0.6167,2020,"Financial Year (Apr - Mar), 2020"
658,India,2003-04,26,"ORES, SLAG AND ASH",232738.97,0.6481,2003,"Financial Year (Apr - Mar), 2003"
659,India,2002-03,26,"ORES, SLAG AND ASH",220690.99,0.7426,2002,"Financial Year (Apr - Mar), 2002"
660,India,2018-19,26,"ORES, SLAG AND ASH",2963129.55,0.8243,2018,"Financial Year (Apr - Mar), 2018"
662,India,2004-05,26,"ORES, SLAG AND ASH",456222.89,0.9105,2004,"Financial Year (Apr - Mar), 2004"
663,India,2021-22,26,"ORES, SLAG AND ASH",4268886.33,0.9335,2021,"Financial Year (Apr - Mar), 2021"
664,India,2005-06,26,"ORES, SLAG AND ASH",683787.33,1.0354,2005,"Financial Year (Apr - Mar), 2005"
665,India,2016-17,26,"ORES, SLAG AND ASH",2869389.32,1.1132,2016,"Financial Year (Apr - Mar), 2016"
666,India,2011-12,26,"ORES, SLAG AND ASH",3206233.35,1.367,2011,"Financial Year (Apr - Mar), 2011"
667,India,2017-18,26,"ORES, SLAG AND ASH",4181561.99,1.3934,2017,"Financial Year (Apr - Mar), 2017"
668,India,2015-16,26,"ORES, SLAG AND ASH",3529572.21,1.4173,2015,"Financial Year (Apr - Mar), 2015"
669,India,2013-14,26,"ORES, SLAG AND ASH",3938645.66,1.4505,2013,"Financial Year (Apr - Mar), 2013"
670,India,2010-11,26,"ORES, SLAG AND ASH",2492709.58,1.4807,2010,"Financial Year (Apr - Mar), 2010"
671,India,2012-13,26,"ORES, SLAG AND ASH",3980304.27,1.4912,2012,"Financial Year (Apr - Mar), 2012"
672,India,2008-09,26,"ORES, SLAG AND ASH",2141244.12,1.5579,2008,"Financial Year (Apr - Mar), 2008"
673,India,2009-10,26,"ORES, SLAG AND ASH",2158052.06,1.5825,2009,"Financial Year (Apr - Mar), 2009"
674,India,2014-15,26,"ORES, SLAG AND ASH",4504007.19,1.6455,2014,"Financial Year (Apr - Mar), 2014"
675,India,2007-08,26,"ORES, SLAG AND ASH",1870582.31,1.8478,2007,"Financial Year (Apr - Mar), 2007"
676,India,2006-07,26,"ORES, SLAG AND ASH",2597472.8,3.0904,2006,"Financial Year (Apr - Mar), 2006"
677,India,1998-99,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",3383819.45,18.9748,1998,"Financial Year (Apr - Mar), 1998"
678,India,1997-98,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",3741659.04,24.2687,1997,"Financial Year (Apr - Mar), 1997"
679,India,2020-21,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",73739649.16,25.2883,2020,"Financial Year (Apr - Mar), 2020"
680,India,2015-16,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",63202188.5,25.3793,2015,"Financial Year (Apr - Mar), 2015"
681,India,2016-17,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",69191244.02,26.8425,2016,"Financial Year (Apr - Mar), 2016"
682,India,2017-18,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",85269665.08,28.4134,2017,"Financial Year (Apr - Mar), 2017"
683,India,1999-00,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",6218325.23,28.8515,1999,"Financial Year (Apr - Mar), 1999"
684,India,2003-04,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",10431108.36,29.0473,2003,"Financial Year (Apr - Mar), 2003"
685,India,1996-97,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",4069922.67,29.297,1996,"Financial Year (Apr - Mar), 1996"
686,India,2001-02,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",7521846.57,30.6764,2001,"Financial Year (Apr - Mar), 2001"
687,India,2004-05,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",15644545.25,31.2226,2004,"Financial Year (Apr - Mar), 2004"
688,India,2010-11,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",52778770.78,31.3512,2010,"Financial Year (Apr - Mar), 2010"
689,India,2021-22,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",145462318.6,31.8105,2021,"Financial Year (Apr - Mar), 2021"
690,India,2002-03,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",9524486.48,32.0468,2002,"Financial Year (Apr - Mar), 2002"
691,India,2019-20,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",108855874.6,32.3884,2019,"Financial Year (Apr - Mar), 2019"
692,India,2018-19,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",117471484.8,32.6793,2018,"Financial Year (Apr - Mar), 2018"
693,India,2006-07,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",27990727.16,33.3022,2006,"Financial Year (Apr - Mar), 2006"
694,India,2009-10,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",45517882.51,33.3774,2009,"Financial Year (Apr - Mar), 2009"
759,India,2005-06,30,PHARMACEUTICAL PRODUCTS,194913.8,0.2951,2005,"Financial Year (Apr - Mar), 2005"
695,India,2005-06,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",22274023.83,33.7276,2005,"Financial Year (Apr - Mar), 2005"
696,India,2008-09,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",46674735.21,33.9592,2008,"Financial Year (Apr - Mar), 2008"
697,India,2007-08,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",34720546.38,34.2983,2007,"Financial Year (Apr - Mar), 2007"
698,India,2000-01,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",8015391.95,34.7178,2000,"Financial Year (Apr - Mar), 2000"
699,India,2014-15,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",95343879.65,34.8341,2014,"Financial Year (Apr - Mar), 2014"
700,India,2011-12,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",82796567.8,35.3007,2011,"Financial Year (Apr - Mar), 2011"
701,India,2012-13,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",98608557.36,36.9436,2012,"Financial Year (Apr - Mar), 2012"
702,India,2013-14,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",109831161.8,40.447,2013,"Financial Year (Apr - Mar), 2013"
703,India,2010-11,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES",1723610.49,1.0238,2010,"Financial Year (Apr - Mar), 2010"
704,India,2013-14,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES",2906307.56,1.0703,2013,"Financial Year (Apr - Mar), 2013"
705,India,2012-13,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES",2877036.93,1.0779,2012,"Financial Year (Apr - Mar), 2012"
706,India,2007-08,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES",1139282.2,1.1254,2007,"Financial Year (Apr - Mar), 2007"
707,India,2014-15,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES",3141315.36,1.1477,2014,"Financial Year (Apr - Mar), 2014"
